Note: Unit of reference levels is Tonnes of CO2 emission per $10000 of GDP if country promised on intensity,,,,,,
"Else, the unit is million tonnes of CO2 emissions.",,,,,,
,,,,,,
country_code,Country,year,reference_year,type,types,target_year_emission_intensity_level
MLT,Malta,2030,1990,Emission,Emission,1.3024
MNE,Montenegro,2030,1990,Emission,Emission,1.7864
MNG,Mongolia,2030,2010,BAU,Emission,27.63933333
MRT,Mauritania,2030,2012,BAU,Emission,6.721616
MUS,Mauritius,2030,2014,Emission,Emission,4.05856
MWI,Malawi,2030,NA,BAU,Intensity,0.515304187
MYS,Malaysia,2030,2005,Intensity,Intensity,1.990120953
NAM,Namibia,2030,2010,Intensity,Intensity,1.499104429
NER,Niger,2030,2008,BAU,Emission,2.101194333
NGA,Nigeria,2030,2015,Intensity,Intensity,0.813824935
NLD,Netherlands,2030,1990,Emission,Emission,97.4336
NOR,Norway,2030,1990,Emission,Emission,21.439
NZL,New Zealand,2030,1990,Emission,Emission,17.81266667
OMN,Oman,2030,NA,BAU,Intensity,3.942474459
PER,Peru,2030,2010,Emission,Emission,70.25817333
PHL,Philippines,2030,NA,BAU,Intensity,0.483018035
POL,Poland,2030,1990,Emission,Emission,225.7882
PRT,Portugal,2030,1990,Emission,Emission,27.2426
PRY,Paraguay,2030,2011,Emission,Emission,9.5766
ROU,Romania,2030,1990,Emission,Emission,102.5222
RUS,Russia,2030,1990,Emission,Emission,1943.83475
SEN,Senegal,2030,2005,BAU,Emission,15.63338333
SGP,Singapore,2030,2005,Intensity,Intensity,1.069362928
SLE,Sierra Leone,2030,1990,Intensity,Intensity,0.872786644
SRB,Serbia,2030,1990,Emission,Emission,52.17318333
SVK,Slovakia,2030,1990,Emission,Emission,37.1888
SVN,Slovenia,2030,1990,Emission,Emission,9.0508
SWE,Sweden,2030,1990,Emission,Emission,34.5532
SYC,Seychelles,2030,2010,Emission,Emission,0.315003333
TCD,Chad,2030,2010,BAU,Emission,1.446566
TGO,Togo,2030,2010,Emission,Emission,2.345904
THA,Thailand,2030,2015,BAU,Emission,443.953598
TJK,Tajikistan,2030,1990,Emission,Emission,7.392
TKM,Turkmenistan,2030,2000,Emission,Emission,37.53566667
TTO,Trinidad and Tobago,2030,2013,BAU,Emission,101.2652373
TUN,Tunisia,2030,2010,Intensity,Intensity,2.177976643
TUR,Turkey,2030,2012,BAU,Emission,768.42216
TZA,Tanzania,2030,2015,BAU,Emission,15.50835367
UGA,Uganda,2030,2000,BAU,Emission,2.36236
UKR,Ukraine,2030,1990,Emission,Emission,424.0302
URY,Uruguay,2030,1990,Intensity,Intensity,0.796639307
USA,USA,2025,2005,Emission,Emission,4540.8583
UZB,Uzbekistan,2030,2010,Intensity,Intensity,3.210268938
VEN,Venezuela,2030,2011,BAU,Emission,234.6224467
VNM,Viet Nam,2030,2010,BAU,Emission,418.897875
YEM,Yemen,2030,2010,BAU,Emission,42.00999
ZMB,Zambia,2030,2010,BAU,Emission,2.691333333
ZWE,Zimbabwe,2030,2010,BAU,Emission,23.984268
