"country_code"	"name"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"	"2100-2105"	"2105-2110"	"2110-2115"	"2115-2120"	"2120-2125"	"2125-2130"	"2130-2135"	"2135-2140"	"2140-2145"	"2145-2150"	"2150-2155"	"2155-2160"	"2160-2165"	"2165-2170"	"2170-2175"	"2175-2180"	"2180-2185"	"2185-2190"	"2190-2195"	"2195-2200"	"2200-2205"	"2205-2210"	"2210-2215"	"2215-2220"	"2220-2225"	"2225-2230"	"2230-2235"	"2235-2240"	"2240-2245"	"2245-2250"	"2250-2255"	"2255-2260"	"2260-2265"	"2265-2270"	"2270-2275"	"2275-2280"	"2280-2285"	"2285-2290"	"2290-2295"	"2295-2300"
108	"Burundi"	"0-4"	-5.36198438870388	-5.82966091668576	-7.11518341808928	-6.42389831177632	-30.4494300356749	-30.8180510901919	-16.8061581978409	-26.8512776100814	-5.97981734998851	-10.4535282449764	4.68756281051073	7.56358279201652	-1.38006313981831	0.540377909819819	0.349750803969862	0.290493260175562	0.299283858276528	0.286863734991947	0.294702591014535	0.269357383762509	0.264878781932878	0.241278264829073	0.220066679625144	0.213438974251214	0.202185677218292	0.174963703150337	0.159800330244955	0.15347581684435	0.133059208192295	0.127955998357541	0.0736199403839167	0.0654399470079259	0.0572599536319352	0.0490799602559445	0.0408999668799537	0.032719973503963	0.0245399801279722	0.0163599867519815	0.00817999337599074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	"Burundi"	"5-9"	-4.56631066505552	-4.69710251194582	-5.9559518873501	-0.30805842681277	-14.1229425824088	-17.4460152031765	-11.9639921475114	-16.6057410036663	-4.41730480517787	-10.623759347967	0.200282430736112	4.92847482424487	-1.02875526201244	0.381018257711828	0.193082818669316	0.207860008967501	0.206032932015126	0.197163664145453	0.197860653028254	0.186502152509077	0.177828380709862	0.160489487132555	0.147216279725872	0.136867175832742	0.127874010390883	0.118893727936284	0.107475924103549	0.0986944583848494	0.0791893314904864	0.0722421931997125	0.0539029042074394	0.047913692628835	0.0419244810502306	0.0359352694716263	0.0299460578930219	0.0239568463144175	0.0179676347358131	0.0119784231572088	0.00598921157860438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	"Burundi"	"10-14"	-4.0820469359267	-4.05586285189689	-5.06871019293015	1.74261839192464	-5.33004353977982	-8.3160039004784	-6.82834008240727	-9.52438523420761	-7.38909722174946	-17.2982617217443	-3.24782630302851	5.01051989661166	-1.85209037417542	0.391257511746196	0.165616374581392	0.255131868629217	0.254865632358422	0.255709545101611	0.257772409346689	0.259867197737116	0.245057573999478	0.228910201412702	0.216677205281964	0.201253537483385	0.189688559070726	0.185954959224536	0.170227836611661	0.155717230888021	0.134210367766242	0.121339042585035	0.0409590366594128	0.0364080325861447	0.0318570285128766	0.0273060244396085	0.0227550203663404	0.0182040162930723	0.0136530122198043	0.00910200814653617	0.00455100407326809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	"Burundi"	"15-19"	-3.52864181021615	-3.43411593286689	-4.18564867832247	-0.269559850533833	-5.74907767899514	-0.649305834446864	-2.96844418038534	-3.67724109031514	-15.3593159375292	-27.3934425195021	-4.62453266736287	7.43812221927968	-3.77984294070597	0.966390718346566	0.44800594929203	0.449901964139789	0.450197867518047	0.455653817855936	0.457487917245112	0.46449326128585	0.43801679984522	0.414678095881225	0.392415705576787	0.368607189246077	0.346755088630403	0.331590402829574	0.302849179721007	0.278678078681981	0.250697070747406	0.22763135531473	0.207637459545636	0.184566630707232	0.161495801868828	0.138424973030424	0.11535414419202	0.0922833153536159	0.0692124865152119	0.0461416576768079	0.023070828838404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	"Burundi"	"20-24"	-3.14263425208707	-3.02080417504584	-3.59046195965131	-2.50735248102034	-9.73306527897596	3.33911126674233	-2.5639447062083	-1.36137227821247	-22.8469120068294	-32.59225581822	-1.06231608480871	4.08811070289763	-5.60232419164946	1.45547942840261	0.72222196305362	0.659302028228897	0.660419302702477	0.6666310478064	0.666990146504665	0.673776851478683	0.638178490957334	0.604797915440418	0.571597647888403	0.539178602109848	0.506297620286195	0.475058077661435	0.433754271973203	0.400995791584748	0.365301004739167	0.333402899156567	0.389161588362403	0.345921411877691	0.30268123539298	0.259441058908269	0.216200882423557	0.172960705938846	0.129720529454134	0.0864803529694229	0.0432401764847114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	"Burundi"	"25-29"	-2.70771333318368	-2.56952044979435	-3.00230079604533	-3.29919720006218	-11.4415708986949	2.05895690317205	-4.02647907024763	-2.03683978814414	-23.6564915938235	-29.3538599650309	4.88522802861169	1.53138474586131	-5.76829844759906	1.57662184812682	0.780170540884951	0.727095547742835	0.726002119678062	0.728364798031551	0.725855582174496	0.729387293344237	0.691585218513822	0.654014236216013	0.618045452035199	0.580760138948655	0.543151717718588	0.504947905940805	0.46071363465644	0.42561941875699	0.38882730719529	0.353217556871506	0.378940768049257	0.336836238266006	0.294731708482755	0.252627178699505	0.210522648916254	0.168418119133003	0.126313589349752	0.0842090595665015	0.0421045297832508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	"Burundi"	"30-34"	-2.40680971909639	-2.29678350540816	-2.64761454220986	-3.20236268757807	-10.6645187025809	-1.49316075956369	-4.8740324865955	-4.47372792731561	-19.1589694510756	-25.8334155727205	9.95688519038599	3.92951996879154	-4.68475755611506	1.23995219055005	0.62571750437151	0.633157791093768	0.633141290220149	0.63361831859258	0.631774706864161	0.633144270267017	0.602339556757254	0.56995750507911	0.539493662297871	0.504441951536693	0.471641552414478	0.437625086395933	0.400567714825374	0.370062559985279	0.340021134858031	0.307923735314475	0.288201300347497	0.256178933642219	0.224156566936942	0.192134200231665	0.160111833526387	0.12808946682111	0.0960671001158323	0.0640447334105548	0.0320223667052774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	"Burundi"	"35-39"	-2.02929766831292	-1.95564416999226	-2.26418599903413	-2.68047132419333	-9.17940721317783	-3.40910492468709	-4.26071847662538	-6.14700746292845	-13.0418191014011	-23.1498121559865	9.05505836768345	10.4244766002956	-3.17552755510238	0.880603254863467	0.43336689168429	0.456198627039703	0.454949665344921	0.45400567951099	0.451835707856212	0.451120133672529	0.429369608863032	0.406959902398331	0.384288384414121	0.356686401933041	0.334852360199754	0.309056348639283	0.28428164125095	0.26064489971243	0.240566831181494	0.216601400066679	0.189627016705299	0.168557348182488	0.147487679659677	0.126418011136866	0.105348342614055	0.0842786740912441	0.0632090055684331	0.042139337045622	0.021069668522811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	"Burundi"	"40-44"	-1.76549085828369	-1.73644417249887	-2.0349484997334	-2.32357488055838	-7.91289747438752	-3.18215467980384	-2.90778230220712	-5.24420709340984	-8.2373401967337	-20.3576960172744	5.12986055359024	10.6482236090047	-2.01884857281488	0.522074325938901	0.265836711401454	0.288974850561545	0.289024343699282	0.290100924682358	0.288137629969524	0.287974679057587	0.27503936832242	0.261885813586032	0.246506308035068	0.228399858209357	0.217370562010254	0.198805927530479	0.186263307429262	0.168280103535695	0.156997526156378	0.140940445904051	0.127228387493414	0.113091899994146	0.0989554124948774	0.0848189249956092	0.070682437496341	0.0565459499970728	0.0424094624978046	0.0282729749985364	0.0141364874992682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	"Burundi"	"45-49"	-1.43453325165114	-1.43524489220486	-1.71542781789104	-1.95908236789247	-6.62005214453593	-2.43715254080845	-1.49377957154833	-3.5381545050822	-4.96451631091153	-16.7079033674232	1.89429836053088	6.88604724417266	-1.20337334895313	0.346909312519347	0.166918532310603	0.169454270095362	0.168572250596182	0.169783945702224	0.16618285921443	0.166360869305792	0.158290754867712	0.15104901203266	0.140415813913305	0.130164280009986	0.124836149916974	0.111563535517362	0.108066321827185	0.0938124653887676	0.0884265412285936	0.0789284647847815	0.0852702005341796	0.0757957338081596	0.0663212670821397	0.0568468003561197	0.0473723336300998	0.0378978669040798	0.0284234001780599	0.0189489334520399	0.00947446672601995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
